date,15:45:00,15:50:00,15:54:00
2021-01-04,309.20999,309.51999,309.25
2021-01-05,311.48001,311.69931,311.905
2021-01-06,308.0,307.54999,307.64999
2021-01-07,315.465,315.69,315.75
2021-01-08,318.82999,318.91019,319.17001
2021-01-11,314.29999,315.084991,314.41
2021-01-12,314.2291,314.32001,314.17999
2021-01-13,316.63989,316.32001,316.079895
2021-01-14,315.17999,314.5885,314.0
2021-01-15,312.059998,311.98999,311.94199
2021-01-19,316.70001,316.57001,316.67999
2021-01-20,324.57999,324.17001,324.26001
2021-01-21,326.86301,326.78,326.59
2021-01-22,326.37,326.20001,326.049988
2021-01-25,327.57999,328.029999,328.12
2021-01-26,328.88501,328.82999,328.34
2021-01-27,318.5,319.23001,319.44
2021-01-28,322.52899,322.34,322.37
2021-01-29,315.38,316.16,315.98001
2021-02-01,323.049988,323.10501,323.39001
2021-02-02,328.22,328.51001,328.14001
2021-02-03,327.45999,326.7807,326.82059
2021-02-04,,,329.85999
2021-02-08,332.85001,332.92001,333.22501
2021-02-09,334.10001,333.69,333.25
2021-02-10,332.12,332.45001,332.241
2021-02-11,333.85001,333.94,334.39001
2021-02-12,335.74899,336.13,336.32999
2021-02-16,335.5072,335.30911,335.66
2021-02-17,333.92001,334.059998,333.85999
2021-02-18,333.01001,332.60999,332.39499
2021-02-19,331.17999,331.17999,330.89999
2021-02-22,322.95999,322.47,322.38
2021-02-23,322.36499,321.98001,321.85999
2021-02-24,323.59,323.85001,324.095001
2021-02-25,313.73999,314.029999,313.57999
2021-02-26,317.87,317.51999,315.85001
2021-03-01,323.29999,322.85999,323.73001
2021-03-02,319.76001,318.92001,318.72
2021-03-03,310.66699,309.81,309.39001
2021-03-04,304.41,304.345,303.20999
2021-03-05,308.84,308.95001,308.86499
2021-03-08,301.62,301.29001,300.67999
2021-03-09,312.42999,311.73901,312.85999
2021-03-10,311.48999,311.62,311.14999
2021-03-11,318.57999,318.285,318.40991
2021-03-12,315.30499,315.28,315.089996
2021-03-15,317.69009,317.91,318.42001
2021-03-16,321.375,321.019989,321.049988
2021-03-17,321.67001,321.48001,321.42181
2021-03-18,312.29001,312.084991,311.81
2021-03-19,313.97,313.98999,314.029999
2021-03-22,318.98999,318.98001,318.89001
2021-03-23,317.23999,316.54001,317.20999
2021-03-24,313.01001,312.62,312.14999
2021-03-25,312.2399,312.20001,311.70999
2021-03-26,313.66501,313.89001,314.54001
2021-03-29,315.48999,315.87,315.45999
2021-03-30,314.34,313.64001,313.45999
2021-03-31,319.47,320.084991,319.17001
2021-04-01,324.070007,324.22501,324.51999
2021-04-05,330.95001,330.97,331.5
2021-04-06,330.84,330.58499,330.25
2021-04-07,331.73001,331.5,331.45001
2021-04-08,334.87,334.82001,334.89999
2021-04-09,336.51001,336.84,337.1684
2021-04-12,336.85999,336.88501,336.63
2021-04-13,340.70001,340.42999,340.67001
2021-04-14,336.42999,336.14001,335.98001
2021-04-15,341.64001,341.77011,341.70499
2021-04-19,338.23001,337.98999,338.070007
2021-04-20,336.67001,336.45001,336.44
2021-04-21,338.935,339.01001,339.34
2021-04-22,335.39001,335.079987,335.019989
2021-04-23,340.10999,339.79999,339.88
2021-04-26,341.45999,341.42001,341.48999
2021-04-27,340.54001,340.48001,340.41
2021-04-28,339.48001,339.039886,338.62079
2021-04-29,340.39499,340.12,340.16501
2021-04-30,337.42001,337.57001,337.16
2021-05-03,336.23001,335.85999,335.95999
2021-05-04,328.45001,328.98001,328.94
2021-05-05,329.32999,328.92999,329.040009
2021-05-06,330.20499,330.91,331.185
2021-05-07,334.535,334.70001,334.625
2021-05-10,326.995,326.45001,325.79001
2021-05-11,324.82999,325.34,325.39001
2021-05-12,317.57999,316.88,316.079987
2021-05-13,320.82001,320.405,319.95999
2021-05-14,326.47,326.755,327.20999
2021-05-17,323.66,324.070007,324.049988
2021-05-18,324.019989,323.12,322.41
2021-05-19,321.20111,321.32001,322.01001
2021-05-20,329.32001,328.81,329.38
2021-05-21,327.049988,327.049988,326.85999
2021-05-24,332.98999,333.01001,332.94
2021-05-25,332.76999,332.5,332.51001
2021-05-26,333.82901,333.64001,333.67001
2021-05-27,333.095001,333.065002,333.19501
2021-05-28,334.42001,334.26999,333.88501
2021-06-01,333.059998,332.965,333.11499
2021-06-02,332.85999,333.29001,333.11069
2021-06-03,329.88,329.84,329.81
2021-06-04,335.72,335.97,335.88501
2021-06-07,336.14001,336.29501,336.45001
2021-06-08,336.875,336.785,336.78
2021-06-09,336.76001,336.78,336.92499
2021-06-10,339.85001,340.19501,340.37
2021-06-11,340.56,340.81,341.01001
2021-06-14,343.29999,343.63,344.10001
2021-06-15,342.29999,342.26999,341.89999
2021-06-16,341.47,341.38,341.089996
2021-06-17,346.019989,346.080109,345.76001
2021-06-18,343.66501,343.42999,343.48999
2021-06-21,343.88,344.029999,344.39999
2021-06-22,347.57999,347.54001,347.67001
2021-06-23,347.77869,347.47,347.565
2021-06-24,349.75,349.84,349.92001
2021-06-25,349.20001,349.479,349.14999
2021-06-28,353.54999,353.6825,353.79999
2021-06-29,354.85999,354.78,354.83499
2021-06-30,354.91,354.54001,354.70001
2021-07-01,354.12991,354.27499,354.33011
