date,15:45:00,15:50:00,15:54:00
2021-01-04,125.88333,126.0,125.97
2021-01-05,127.95667,128.11,128.32
2021-01-06,128.3,127.98334,128.033335
2021-01-07,132.77,133.013336,133.17667
2021-01-08,132.60333,132.64,132.80333
2021-01-11,134.22334,134.63,134.34667
2021-01-12,134.94667,135.12333,135.23167
2021-01-13,,135.56333,135.46
2021-01-14,138.70403,138.51,138.22334
2021-01-15,135.56667,135.33333,135.31
2021-01-19,139.87,140.026662,139.95667
2021-01-20,139.74687,139.66333,139.61
2021-01-21,141.19667,141.65667,141.75666
2021-01-22,,139.45333,139.34333
2021-01-25,138.73666,138.85333,139.0
2021-01-26,137.34667,137.32333,137.073334
2021-01-27,129.69,130.25334,130.12667
2021-01-28,133.48666,133.19833,133.16
2021-01-29,131.033335,131.40333,131.28666
2021-02-01,135.77334,135.56,136.039998
2021-02-02,137.67,137.88667,137.93
2021-02-03,135.26666,135.12333,135.13333
2021-02-04,,135.6136,135.7
2021-02-05,,135.15,
2021-02-08,139.093333,139.059998,139.19333
2021-02-09,139.16,138.89,138.78167
2021-02-10,138.72334,139.029999,138.99334
2021-02-11,,143.63333,143.78334
2021-02-12,145.28,145.45333,145.59333
2021-02-16,146.49666,146.36333,146.50334
2021-02-17,144.238,144.33333,144.29333
2021-02-18,142.93,142.72,142.50334
2021-02-19,145.91667,145.8033,145.79333
2021-02-22,140.58333,140.52666,140.64
2021-02-23,140.013336,139.76,139.71334
2021-02-24,143.64333,143.79,143.99
2021-02-25,136.45,136.64333,136.26
2021-02-26,140.0033366,139.72,139.19333
2021-03-01,143.083333,142.84,143.38667
2021-03-02,139.93,139.50334,139.31333
2021-03-03,135.92826,135.46334,135.059998
2021-03-04,128.93,128.88333,128.066671
2021-03-05,132.38333,132.14,132.32333
2021-03-08,126.25666,126.14333,125.62667
2021-03-09,132.98334,132.44333,133.043335
2021-03-10,130.97,131.006663,130.77666
2021-03-11,135.86333,135.57,135.80167
2021-03-12,134.37,134.41,134.27666
2021-03-15,136.85,136.73334,136.95333
2021-03-16,139.57,139.29,139.18667
2021-03-17,140.63333,140.4219,140.53893
2021-03-18,135.18,134.99334,134.83333
2021-03-19,136.47666,136.47666,136.49666
2021-03-22,139.69,139.61333,139.56667
2021-03-24,134.92,134.58667,134.21334
2021-03-25,134.23334,134.30667,134.11333
2021-03-26,138.82333,139.13,139.54
2021-03-29,137.905,138.32667,138.10667
2021-03-30,137.95333,137.48334,137.32333
2021-03-31,141.82,141.96,141.47
2021-04-01,146.093333,146.083333,146.33333
2021-04-05,149.37667,149.33333,149.51
2021-04-06,147.68333,147.45667,147.40333
2021-04-07,147.82333,147.77334,147.67
2021-04-08,149.07667,148.87,149.10667
2021-04-09,148.49666,148.6,148.95833
2021-04-12,147.42,147.49,147.44333
2021-04-13,147.033335,146.97666,147.11
2021-04-14,145.48666,145.3,145.32
2021-04-15,147.89333,148.039998,147.97666
