date,15:45:00,15:50:00,15:54:00
2021-01-04,368.81,369.25101,368.96109
2021-01-05,371.45001,371.6033,371.56
2021-01-06,373.57001,373.45999,373.72501
2021-01-07,379.59,379.70001,379.78
2021-01-08,381.019989,381.25,381.345
2021-01-11,378.44,379.26001,378.73001
2021-01-12,379.16,379.084991,379.17999
2021-01-13,380.34,380.20999,380.0
2021-01-14,379.2663,378.76001,378.28189
2021-01-15,375.73001,375.62,375.63
2021-01-19,379.12741,378.92111,379.01001
2021-01-20,384.70001,384.36499,384.48001
2021-01-21,384.85999,384.70001,384.59
2021-01-22,383.91,383.82999,383.60501
2021-01-25,383.69821,384.049988,384.089996
2021-01-26,384.37,384.20499,383.82001
2021-01-27,372.85999,373.57889,374.049988
2021-01-28,378.48999,378.54001,378.81
2021-01-29,370.815,371.80499,371.75
2021-02-01,376.64999,376.75699,377.089996
2021-02-02,382.35001,382.535,382.059998
2021-02-03,382.69,382.25,382.36499
2021-02-04,385.17001,,385.5
2021-02-05,387.51001,387.465,387.42001
2021-02-08,389.685,389.84,390.059998
2021-02-09,390.70499,390.39499,390.17001
2021-02-10,389.4975,389.81,389.73999
2021-02-11,390.13,390.14999,390.48001
2021-02-12,391.91989,392.35001,392.595
2021-02-16,392.61499,392.28189,392.54999
2021-02-17,392.32001,392.51999,392.45499
2021-02-18,391.39499,390.95001,390.77499
2021-02-19,390.435,390.26999,389.92999
2021-02-22,387.72,387.23999,387.16
2021-02-23,388.41,388.0098877,387.89001
2021-02-24,391.85999,391.9299,392.069305
2021-02-25,383.12,383.45499,383.155
2021-02-26,384.070007,383.75,382.14999
2021-03-01,389.69501,389.13,389.63
2021-03-02,388.065002,387.35001,387.14999
2021-03-03,383.1474,382.41,381.98001
2021-03-04,376.67001,376.82001,375.79501
2021-03-05,383.85999,384.27499,384.17001
2021-03-08,383.715,383.26501,382.785
2021-03-09,388.070007,387.345,388.22
2021-03-10,389.91,390.13,389.76001
2021-03-11,393.85999,393.60999,393.73001
2021-03-12,393.89999,393.78,393.65051
2021-03-15,395.20499,395.45999,395.98001
2021-03-16,396.50061,396.367,396.41
2021-03-17,396.77499,396.63501,396.71991
2021-03-18,391.34,391.32889,391.19
2021-03-19,391.059998,390.73999,390.51001
2021-03-22,392.73999,392.70001,392.63989
2021-03-24,388.88,388.42001,388.20001
2021-03-25,390.16,390.32001,389.89999
2021-03-26,393.48001,393.76999,394.37
2021-03-29,395.76001,395.92999,395.63989
2021-03-30,394.67499,393.95999,393.87
2021-03-31,396.60501,397.070007,396.67999
2021-04-01,399.78,399.89499,400.26001
